Id,Season,Week,Neutral_Site,Conference_Game,Attendance,Venue_Id,Home_Id,Home_Team,Home_Conference,Home_Division,Home_Points,Home_1_Q_P,Home_2_Q_P,Home_3_Q_P,Home_4_Q_P,Away_Id,Away_Team,Away_Conference,Away_Division,Away_Points,Away_1_Q_P,Away_2_Q_P,Away_3_Q_P,Away_4_Q_P
401520214,2023,2,FALSE,FALSE,30000,4729,2655,Tulane,American Athletic,fbs,20,7,10,0,3,145,Ole Miss,SEC,fbs,37,7,3,7,20
401531432,2023,2,FALSE,FALSE,29789,3852,2426,Navy,American Athletic,fbs,24,7,10,0,7,2681,Wagner,NEC,fcs,0,0,0,0,0
401532397,2023,2,FALSE,FALSE,13114,3764,2459,Northern Illinois,Mid-American,fbs,11,0,0,3,8,79,Southern Illinois,MVFC,fcs,14,7,0,7,0
401520203,2023,2,FALSE,FALSE,,3936,127,Michigan State,Big Ten,fbs,45,7,10,21,7,257,Richmond,CAA,fcs,14,0,0,0,14
401532398,2023,2,FALSE,FALSE,22742,3739,2649,Toledo,Mid-American,fbs,71,22,28,7,14,2640,Texas Southern,SWAC,fcs,3,0,3,0,0
401520202,2023,2,FALSE,FALSE,109482,3558,130,Michigan,Big Ten,fbs,35,7,14,14,0,2439,UNLV,Mountain West,fbs,7,0,0,0,7
401532578,2023,2,FALSE,FALSE,14224,3935,23,San José State,Mountain West,fbs,59,17,21,21,0,13,Cal Poly,Big Sky,fcs,3,0,3,0,0
401520184,2023,2,FALSE,FALSE,73173,3887,8,Arkansas,SEC,fbs,28,7,7,7,7,2309,Kent State,Mid-American,fbs,6,3,3,0,0
401531411,2023,2,FALSE,FALSE,38211,3699,151,East Carolina,American Athletic,fbs,13,0,10,3,0,276,Marshall,Sun Belt,fbs,31,0,10,0,21
401532580,2023,2,FALSE,FALSE,22121,3984,2751,Wyoming,Mountain West,fbs,31,14,7,10,0,2502,Portland State,Big Sky,fcs,17,0,10,0,7
401531844,2023,2,FALSE,FALSE,15237,6526,6,South Alabama,Sun Belt,fbs,35,0,7,14,14,2545,Southeastern Louisiana,Southland,fcs,17,0,7,0,10
401524004,2023,2,FALSE,FALSE,63128,3765,264,Washington,Pac-12,fbs,43,14,8,14,7,202,Tulsa,American Athletic,fbs,10,3,0,0,7
401520213,2023,2,FALSE,FALSE,101915,3853,2633,Tennessee,SEC,fbs,30,3,10,10,7,2046,Austin Peay,UAC,fcs,13,3,3,0,7
401525495,2023,2,FALSE,FALSE,50500,3787,153,North Carolina,ACC,fbs,40,0,10,10,7,2026,Appalachian State,Sun Belt,fbs,34,0,10,7,10
401531842,2023,2,FALSE,TRUE,18154,3918,295,Old Dominion,Sun Belt,fbs,38,7,10,14,7,309,Louisiana,Sun Belt,fbs,31,10,7,0,14
401525492,2023,2,FALSE,FALSE,17481,3982,150,Duke,ACC,fbs,42,7,14,14,7,322,Lafayette,Patriot,fcs,7,7,0,0,0
401520198,2023,2,FALSE,TRUE,20123,3992,2335,Liberty,Conference USA,fbs,33,7,16,10,0,166,New Mexico State,Conference USA,fbs,17,7,10,0,0
401531378,2023,2,FALSE,FALSE,20103,3608,290,Georgia Southern,Sun Belt,fbs,49,14,14,7,14,5,UAB,American Athletic,fbs,35,0,22,7,6
401531419,2023,2,FALSE,FALSE,17934,3715,2226,Florida Atlantic,American Athletic,fbs,10,0,10,0,0,195,Ohio,Mid-American,fbs,17,0,7,7,3
401532399,2023,2,FALSE,FALSE,8213,3768,2006,Akron,Mid-American,fbs,24,3,14,0,7,2415,Morgan State,MEAC,fcs,21,0,7,14,0
401525830,2023,2,FALSE,FALSE,84186,3835,201,Oklahoma,Big 12,fbs,28,7,7,0,14,2567,SMU,American Athletic,fbs,11,3,0,0,8
401525833,2023,2,FALSE,FALSE,50037,3842,277,West Virginia,Big 12,fbs,56,7,28,7,14,2184,Duquesne,NEC,fcs,17,7,3,7,0
401532401,2023,2,FALSE,FALSE,15854,3965,2084,Buffalo,Mid-American,fbs,37,14,7,9,7,2230,Fordham,Patriot,fcs,40,3,17,6,14
401520189,2023,2,FALSE,FALSE,15754,218,2229,Florida International,Conference USA,fbs,46,7,10,21,8,249,North Texas,American Athletic,fbs,39,10,10,7,12
401525496,2023,2,FALSE,FALSE,49398,3752,221,Pittsburgh,ACC,fbs,21,7,0,0,14,2132,Cincinnati,Big 12,fbs,27,10,10,7,0
401520192,2023,2,FALSE,FALSE,15186,4246,2247,Georgia State,Sun Belt,fbs,35,7,14,7,7,41,Connecticut,FBS Independents,fbs,14,0,0,0,14
401520183,2023,2,FALSE,FALSE,100077,3657,333,Alabama,SEC,fbs,24,0,6,10,8,251,Texas,Big 12,fbs,34,3,10,0,21
401531427,2023,2,FALSE,FALSE,18724,3625,2032,Arkansas State,Sun Belt,fbs,3,0,3,0,0,235,Memphis,American Athletic,fbs,37,3,21,7,6
401531422,2023,2,FALSE,FALSE,36495,3886,58,South Florida,American Athletic,fbs,38,14,10,7,7,50,Florida A&M,SWAC,fcs,24,7,7,3,7
401532576,2023,2,FALSE,FALSE,19852,3816,2440,Nevada,Mountain West,fbs,6,3,3,0,0,70,Idaho,Big Sky,fcs,33,14,3,10,6
401524002,2023,2,FALSE,FALSE,,3784,2641,Texas Tech,Big 12,fbs,30,7,6,14,3,2483,Oregon,Pac-12,fbs,38,15,3,0,20
401520187,2023,2,FALSE,FALSE,16006,3654,324,Coastal Carolina,Sun Belt,fbs,30,7,3,13,7,55,Jacksonville State,Conference USA,fbs,16,6,3,0,7
401520197,2023,2,FALSE,FALSE,19152,3776,2348,Louisiana Tech,Conference USA,fbs,51,10,21,20,0,2466,Northwestern State,Southland,fcs,21,7,7,7,0
401520206,2023,2,FALSE,FALSE,57645,3838,142,Missouri,SEC,fbs,23,3,7,6,7,2393,Middle Tennessee,Conference USA,fbs,19,0,7,3,9
401520218,2023,2,FALSE,FALSE,20712,3796,98,Western Kentucky,Conference USA,fbs,52,24,7,7,14,2277,Houston Christian,Southland,fcs,22,0,14,0,8
401525827,2023,2,FALSE,FALSE,36447,3653,68,Boise State,Mountain West,fbs,16,7,3,0,6,2116,UCF,Big 12,fbs,18,3,6,0,9
401525831,2023,2,FALSE,FALSE,23425,3895,242,Rice,American Athletic,fbs,43,21,7,0,0,248,Houston,Big 12,fbs,41,0,7,0,21
401524001,2023,2,FALSE,FALSE,32017,7311,21,San Diego State,Mountain West,fbs,10,7,3,0,0,26,UCLA,Pac-12,fbs,35,7,21,7,0
401520199,2023,2,FALSE,FALSE,97735,3958,99,LSU,SEC,fbs,72,14,28,14,16,2755,Grambling,SWAC,fcs,10,10,0,0,0
401520190,2023,2,FALSE,FALSE,88163,3634,57,Florida,SEC,fbs,49,13,13,16,7,2377,McNeese,Southland,fcs,7,0,0,0,7
401520212,2023,2,FALSE,FALSE,78281,3994,2579,South Carolina,SEC,fbs,47,7,20,13,7,231,Furman,Southern,fcs,21,7,7,0,7
401520200,2023,2,FALSE,FALSE,32804,3665,120,Maryland,Big Ten,fbs,38,0,9,8,21,2429,Charlotte,American Athletic,fbs,20,14,0,0,6
401520204,2023,2,FALSE,FALSE,48101,3953,135,Minnesota,Big Ten,fbs,25,0,10,10,5,2199,Eastern Michigan,Mid-American,fbs,6,0,6,0,0
401520205,2023,2,FALSE,FALSE,51648,3693,344,Mississippi State,SEC,fbs,31,14,0,7,3,12,Arizona,Pac-12,fbs,24,0,7,7,10
401520210,2023,2,FALSE,FALSE,45317,6577,164,Rutgers,Big Ten,fbs,36,7,6,0,23,218,Temple,American Athletic,fbs,7,0,0,0,7
401520217,2023,2,FALSE,FALSE,33024,3820,265,Washington State,Pac-12,fbs,31,7,17,0,7,275,Wisconsin,Big Ten,fbs,22,3,6,13,0
401532579,2023,2,FALSE,FALSE,20034,3905,328,Utah State,Mountain West,fbs,78,7,44,14,13,304,Idaho State,Big Sky,fcs,28,7,7,7,7
401532577,2023,2,FALSE,FALSE,17279,3971,167,New Mexico,Mountain West,fbs,56,7,21,21,7,2635,Tennessee Tech,Big South-OVC,fcs,10,7,3,0,0
401520211,2023,2,TRUE,FALSE,25121,3891,2534,Sam Houston State,Conference USA,fbs,3,0,0,3,0,2005,Air Force,Mountain West,fbs,13,0,3,0,10
401525832,2023,2,FALSE,FALSE,45010,3616,2628,TCU,Big 12,fbs,41,14,10,0,17,2447,Nicholls,Southland,fcs,6,0,3,3,0
401531843,2023,2,FALSE,FALSE,13154,3817,2433,Louisiana Monroe,Sun Belt,fbs,24,7,14,0,3,2320,Lamar,Southland,fcs,14,0,0,0,14
401525493,2023,2,FALSE,FALSE,74467,3697,52,Florida State,ACC,fbs,66,14,17,21,14,2572,Southern Mississippi,Sun Belt,fbs,13,0,3,7,3
401524000,2023,2,FALSE,FALSE,35728,3893,204,Oregon State,Pac-12,fbs,55,14,24,10,7,302,UC Davis,Big Sky,fcs,7,0,0,0,7
401532574,2023,2,FALSE,FALSE,41031,3660,278,Fresno State,Mountain West,fbs,34,7,7,7,3,331,Eastern Washington,Big Sky,fcs,31,3,0,14,7
401520186,2023,2,FALSE,FALSE,44141,3831,25,California,Pac-12,fbs,10,3,7,0,0,2,Auburn,SEC,fbs,14,0,7,0,7
401524003,2023,2,FALSE,TRUE,67213,477,30,USC,Pac-12,fbs,56,21,28,0,7,24,Stanford,Pac-12,fbs,10,0,3,0,7
401523998,2023,2,FALSE,FALSE,42569,3947,9,Arizona State,Pac-12,fbs,15,7,8,0,0,197,Oklahoma State,Big 12,fbs,27,0,10,7,10
401532575,2023,2,FALSE,FALSE,9485,7220,62,Hawai'i,Mountain West,fbs,31,10,7,7,7,399,Albany,CAA,fcs,20,7,10,3,0
401531428,2023,3,FALSE,TRUE,25551,3805,235,Memphis,American Athletic,fbs,28,7,7,7,7,2426,Navy,American Athletic,fbs,24,14,0,7,3
401525499,2023,3,FALSE,FALSE,40077,3948,2390,Miami,ACC,fbs,48,14,20,7,7,2065,Bethune-Cookman,SWAC,fcs,7,0,0,0,7
401531396,2023,3,FALSE,FALSE,27138,3604,2636,UT San Antonio,American Athletic,fbs,29,0,14,7,8,349,Army,FBS Independents,fbs,37,14,6,10,7
401520231,2023,3,FALSE,FALSE,37041,3665,120,Maryland,Big Ten,fbs,42,7,7,7,21,258,Virginia,ACC,fbs,14,14,0,0,0
401532581,2023,3,FALSE,TRUE,18400,3713,2005,Air Force,Mountain West,fbs,39,22,10,7,0,328,Utah State,Mountain West,fbs,21,0,7,7,7
401525834,2023,3,FALSE,FALSE,43732,4727,239,Baylor,Big 12,fbs,30,7,9,7,7,112358,Long Island University,NEC,fcs,7,0,7,0,0
